filename,tempo1,zero_crossing_rate_mean,zero_crossing_rate_var,rms_mean,rms_var,y_harm_mean,y_harm_var,y_perc_mean,y_perc_var,spectral_centroid_mean,spectral_centroid_var,rolloff_mean,rolloff_var,chroma_stft_mean,chroma_stft_var,spectral_bandwidth_mean,spectral_bandwidth_var,label,mfcc_mean_1,mfcc_mean_2,mfcc_var_1,mfcc_var_2
470-고백-박혜경.mp3,184.5703125,0.11617398510837072,0.10267759029241072,0.20286371,0.009049229,8.8749755e-07,0.029566642,0.00015404973,0.009463517,2664.039554077775,474041.26416959666,5623.558619361644,1838858.857490148,0.32723662,0.091396615,2606.327875846264,214255.93711407093,470-고백-박혜경.mp3,0.51931906,0.51290333,0.030375563,0.027779188
471-나는 나비-YB (윤도현 밴드).mp3,129.19921875,0.13545612978450833,0.11710776668831067,0.17181708,0.004543297,2.3870084e-07,0.019104978,5.20019e-05,0.005386245,2722.566556290885,613379.5232870019,5701.199654066041,2404838.680419867,0.37593207,0.08602613,2556.219789096543,207893.00221653268,471-나는 나비-YB (윤도현 밴드).mp3,0.4896175,0.49150184,0.032319773,0.03202721
472-비밀 (Special Vocal 박완규)-부활.mp3,69.83741554054055,0.08537359404220994,0.07808494348252591,0.04588847,0.00078994775,-3.1865466e-07,0.0018830914,6.3226958e-06,0.00034787337,1784.4597691597253,548697.352397029,3553.47756994776,2498714.374997448,0.27918565,0.08854436,1971.789488220015,243737.94684280647,472-비밀 (Special Vocal 박완규)-부활.mp3,0.47542268,0.5039753,0.030596592,0.03232027
473-투게더!-잔나비.mp3,123.046875,0.07800861948385443,0.07192327477007765,0.21338335,0.0065305782,-1.390856e-08,0.030880803,3.484782e-06,0.009261638,1865.529380629959,427539.71576528647,4028.8029379473473,2273509.1616087514,0.32599384,0.09013056,2163.146036661108,219880.6673938722,473-투게더!-잔나비.mp3,0.5195558,0.543828,0.029529504,0.026262157
474-Friends With Benefits-TOIL.mp3,99.38401442307692,0.08184632788724581,0.07514750649861926,0.24783461,0.016905032,6.8585075e-05,0.040433854,-0.0006323965,0.021967921,2031.7271820751644,773227.6598743935,4454.971950282991,4595494.048183137,0.3320621,0.09886692,2303.056793897579,464933.14284715604,474-Friends With Benefits-TOIL.mp3,0.5245174,0.48875207,0.026743915,0.03139945
475-HAPPENING-AKMU(악뮤).mp3,129.19921875,0.06976355914967504,0.0648966049644448,0.17681675,0.007824102,3.405587e-05,0.020901812,3.9850882e-05,0.009374715,1978.149354945721,441178.33487942506,4477.1906435761375,2598913.5983281187,0.33279654,0.091911696,2336.3738286897596,255762.472922867,475-HAPPENING-AKMU(악뮤).mp3,0.5070422,0.52311444,0.030135583,0.02820449
476-Healer-DAY6 (데이식스).mp3,123.046875,0.11976552377324227,0.1054217430885633,0.22126293,0.0070100073,8.369755e-06,0.024742655,-0.00031059858,0.01427265,2508.517796249738,410798.75031067524,5372.508241069492,1957071.913645927,0.39333978,0.08052167,2460.0230991939775,240701.8057768196,476-Healer-DAY6 (데이식스).mp3,0.49690065,0.47677156,0.027140135,0.026549114
477-하늘을 달리다-이적.mp3,117.45383522727273,0.13554834065777988,0.11717498800270226,0.1878983,0.008397475,-7.2090984e-07,0.018775512,7.322107e-05,0.0107707195,2414.629446617519,393941.03298798273,4799.11573566904,1526167.4546952,0.4440503,0.07937623,2220.561218232571,176507.25593642113,477-하늘을 달리다-이적.mp3,0.4943899,0.4946702,0.028234119,0.033021625
478-불꽃놀이-하현상.mp3,80.74951171875,0.10585142283970768,0.09464689912251702,0.2281747,0.009129388,-2.5420454e-06,0.04397702,-7.514035e-05,0.0057110093,2215.836837046917,387485.0965084388,4518.446061294942,1759729.2411265424,0.29934707,0.086120725,2264.539371329369,133531.93460611955,478-불꽃놀이-하현상.mp3,0.4950013,0.48870158,0.02969986,0.02939018
479-난 너 없이 (I hate you)-WOODZ.mp3,117.45383522727273,0.11842341872729831,0.10439931262423739,0.14764455,0.0029141544,6.1677765e-06,0.012471737,-0.00010742639,0.0047735064,2633.592473646266,947726.0939490164,5827.63656296291,4813566.020822218,0.37935713,0.08649914,2655.280578934005,341323.222045514,479-난 너 없이 (I hate you)-WOODZ.mp3,0.53084934,0.54853797,0.028069502,0.029936504
480-나의 기쁨 나의 노래 (Intro)-잔나비.mp3,135.99917763157896,0.05784663446139536,0.054500401342885044,0.121999666,0.0046236403,-8.165467e-06,0.016186321,-7.2979183e-06,0.00075545185,1336.6525082405005,477728.5394175214,2472.453071094753,2976172.6274184496,0.25368375,0.08892118,1811.671606278046,361035.87099775166,480-나의 기쁨 나의 노래 (Intro)-잔나비.mp3,0.49651164,0.50354695,0.033277195,0.031154322
481-겨울이 오면-하현상.mp3,80.74951171875,0.09236843755064189,0.08383650929509497,0.21378008,0.0076664747,-3.9176243e-06,0.03820183,-5.5767014e-05,0.005771182,2117.1726544563644,446154.26011553686,4526.968641059343,2291369.606019852,0.29780912,0.08565979,2333.0829308671046,178794.15850531985,481-겨울이 오면-하현상.mp3,0.5145381,0.49340776,0.026999086,0.027632859
482-Stay-넬(NELL).mp3,89.10290948275862,0.10667354712368779,0.09529430146773825,0.27516907,0.009135864,4.2725398e-05,0.05609358,8.538074e-05,0.011294397,2323.785580528077,593178.3536124983,4768.601675784557,2390307.9109550198,0.31519264,0.08718281,2403.931131450378,243096.24298176187,482-Stay-넬(NELL).mp3,0.4975883,0.5028203,0.028612424,0.029092256
483-의류수거함-PATEKO (파테코).mp3,172.265625,0.09319194756444996,0.08450720847359482,0.21030702,0.011446664,1.7197443e-05,0.031851728,0.00015599233,0.012135829,2184.0805086124005,1094568.483635476,4925.633335512553,4988944.0937500615,0.30733007,0.09184977,2368.739300344087,520247.29321743903,483-의류수거함-PATEKO (파테코).mp3,0.52024865,0.49648857,0.02902946,0.027186397
484-이젠 안녕-015B.mp3,143.5546875,0.10395053433217212,0.09314482074422811,0.06517523,0.0015925085,0.000652668,0.00393896,0.00050672714,0.00063765154,1999.901864839317,520477.88604703,3897.1779122391113,2182085.0298860935,0.31969532,0.08832687,1997.8659166576654,194356.31181464318,484-이젠 안녕-015B.mp3,0.4779996,0.5037289,0.033917192,0.03044347
485-seasons-wave to earth.mp3,123.046875,0.04293111164932348,0.041088031301876805,0.23413168,0.008722453,-7.6106026e-06,0.049284,0.00034619906,0.006123473,1144.1620222644215,447956.8144874359,2175.7074656220257,2571728.907744224,0.30242705,0.09305111,1636.8346609226437,358799.7796707656,485-seasons-wave to earth.mp3,0.51969904,0.5051041,0.031337555,0.029636437
486-와리가리-혁오 (HYUKOH).mp3,117.45383522727273,0.07210108208833241,0.06690251605002394,0.20706755,0.011611923,-1.1431068e-05,0.02691626,-0.00050721783,0.013434603,1888.7095891586646,694634.9057598626,4125.7135937220955,3708005.9121047175,0.33725294,0.09816262,2173.257718863084,427311.01773711113,486-와리가리-혁오 (HYUKOH).mp3,0.4929965,0.50070935,0.02802058,0.028442495
487-비망록 (스물의 노래)-버즈.mp3,129.19921875,0.12828331731159728,0.11182670781112937,0.20275539,0.0054189255,8.9719144e-08,0.025874147,-5.5833543e-06,0.0087487055,2522.5318503592857,401456.61209310713,5123.6733887472565,1709402.7212764225,0.37764838,0.08675265,2385.5287354882457,202668.39995250432,487-비망록 (스물의 노래)-버즈.mp3,0.4939857,0.50590676,0.03063012,0.026263932
488-레이디버드-잔나비.mp3,95.703125,0.04717196521745101,0.04494677091497454,0.16276371,0.005217316,4.993463e-06,0.020902881,-5.932312e-06,0.004379035,1313.8782718899602,459055.9530968779,2650.9270182863825,3060321.3513682685,0.323207,0.09060256,1912.5480122777349,374810.5317063382,488-레이디버드-잔나비.mp3,0.4996066,0.50610584,0.028699517,0.033214703
489-정리정돈 (Feat. Jayci Yucca)-TOIL.mp3,135.99917763157896,0.07380856025129598,0.06836085668492684,0.21703687,0.008572318,-1.2300702e-05,0.03609089,-0.00019461197,0.00876176,1837.2818180034783,775466.9133530664,3789.6873702020243,3997825.9137101383,0.28961232,0.09467346,2233.208314855397,303294.5230218425,489-정리정돈 (Feat. Jayci Yucca)-TOIL.mp3,0.4676804,0.47118646,0.0291359,0.030557806
490-그대만 있다면 (어느 멋진 날)-러브홀릭(Loveholic).mp3,143.5546875,0.08443979524514428,0.07730971622410238,0.19349916,0.011031992,-2.6840544e-06,0.033895183,-2.9745126e-05,0.004706688,1777.359174526806,496855.9505547781,3719.3936758667883,2398031.252662856,0.29714844,0.08582007,1898.5134697154363,362707.51848195406,490-그대만 있다면 (어느 멋진 날)-러브홀릭(Loveholic).mp3,0.5043012,0.51746726,0.032203782,0.03589938
491-그대에게-신해철.mp3,80.74951171875,0.14429661385393658,0.1234751010842247,0.10450342,0.002487602,-5.0841627e-06,0.0072814007,-0.00019724437,0.0024779623,2748.1927848766613,431685.58611765417,5684.726926773993,1457442.2632201135,0.35196486,0.08723347,2504.833241804978,113853.33432592779,491-그대에게-신해철.mp3,0.5065245,0.49891686,0.0295765,0.0266562
492-당신을 위하여-더 크로스(The Cross).mp3,92.28515625,0.09968648404014392,0.08974908893985802,0.22922479,0.016587783,4.7571397e-05,0.04171857,-0.00022040821,0.011689235,2057.9871295653384,293270.56183407985,4160.493827132011,1564974.0167672634,0.3158757,0.08864015,2120.2295342383877,180560.8379051423,492-당신을 위하여-더 크로스(The Cross).mp3,0.5101686,0.49284887,0.029315032,0.03180468
493-Afraid-DAY6 (데이식스).mp3,161.4990234375,0.1087051318173622,0.09688832613393207,0.23634118,0.012449527,-8.026999e-06,0.04552387,-0.00019555593,0.008562104,2496.747161441701,684013.613393755,5398.331137106452,3029890.962776766,0.32014924,0.08879238,2489.351665300427,269043.0564263479,493-Afraid-DAY6 (데이식스).mp3,0.52020437,0.505921,0.03574949,0.030117063
494-서시-신성우.mp3,83.35433467741936,0.11078670828923261,0.09851301355566909,0.13282108,0.0044427942,-7.829917e-05,0.013740319,-0.00030594505,0.0034188644,2127.482637330197,566211.529194965,4201.180935183352,2271821.944224587,0.337529,0.09046066,2129.7352502693047,185825.97120581853,494-서시-신성우.mp3,0.5366455,0.4884823,0.028979313,0.030139256
495-공드리-혁오 (HYUKOH).mp3,80.74951171875,0.043317272524533317,0.0414408864255686,0.16359225,0.014892572,4.5499152e-07,0.03222112,1.9078054e-06,0.0027820603,936.1021867556367,214449.12537793213,1782.780855498049,1202636.4447422824,0.2656325,0.08934794,1173.2763378796399,207572.17004196456,495-공드리-혁오 (HYUKOH).mp3,0.5043641,0.5020318,0.033280153,0.03571697
